comparison_id,analysis_family,source_step,model_a,model_b,group_type,scenario_id,basis,pool_label,valid_paired_rows,mean_paired_ape_difference,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_resamples,bootstrap_seed
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_emerging_no_break,ceded,,50,77.14499458858901,17.98478227813176,150.9155917256818,10000,940539901
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_emerging_no_break,gross,,0,,,,10000,1820187418
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_emerging_no_break,gross,,0,,,,10000,936236012
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_emerging_no_break,gross,,0,,,,10000,334117938
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_emerging_no_break,gross,,50,33.299658510787964,24.523057512032313,42.63987777459131,10000,3165871235
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_emerging_no_break,gross,,50,33.29977939451455,24.40031865727346,42.564572246687646,10000,481397099
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_emerging_no_break,gross,,50,29.500160515937495,20.80447620241384,38.09985599000213,10000,658758682
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_shock_break,ceded,,0,,,,10000,3492399419
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_shock_break,ceded,,0,,,,10000,2184398579
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_shock_break,ceded,,0,,,,10000,4082749849
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_shock_break,ceded,,50,142.10559736611512,81.37534792537656,216.5299595126199,10000,4086661515
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_shock_break,ceded,,50,88.32344172709465,59.22626896886214,123.036562835814,10000,2434175335
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_shock_break,ceded,,50,93.91252770678707,36.27574877058441,170.4020192557731,10000,2732631132
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_shock_break,gross,,0,,,,10000,2614210636
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_shock_break,gross,,0,,,,10000,369588521
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_shock_break,gross,,0,,,,10000,837102160
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_shock_break,gross,,50,54.31599591557769,49.19912846991797,59.690504771296844,10000,1878005365
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_shock_break,gross,,50,74.86837463526463,67.2552003135041,82.38656840350609,10000,1272340392
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_shock_break,gross,,50,51.807399694663545,46.20461911237826,57.75257047958426,10000,2771489913
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_shock_no_break,ceded,,0,,,,10000,3527596035
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_shock_no_break,ceded,,0,,,,10000,813616572
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_shock_no_break,ceded,,0,,,,10000,4009115601
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_shock_no_break,ceded,,50,28.2175016837561,9.654044708767326,49.45073692426378,10000,279100439
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_shock_no_break,ceded,,50,28.217501655398323,9.59277991678584,50.527656681669455,10000,1239505915
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_shock_no_break,ceded,,50,-8.97784965985818,-15.661783741194906,-2.15734434956481,10000,3992144953
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_shock_no_break,gross,,0,,,,10000,2277754510
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_shock_no_break,gross,,0,,,,10000,3798092325
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_shock_no_break,gross,,0,,,,10000,3656643466
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_shock_no_break,gross,,50,41.63091183079081,35.813660390797935,47.20482530179644,10000,808995533
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_shock_no_break,gross,,50,41.630916628420444,35.79556830927235,47.28334324570436,10000,1514429921
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_shock_no_break,gross,,50,40.2018280527809,35.51852629130352,44.75205464862455,10000,1402174368
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_stable_break,ceded,,0,,,,10000,158031627
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_stable_break,ceded,,0,,,,10000,1108100521
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_stable_break,ceded,,0,,,,10000,3335281180
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_stable_break,ceded,,50,383.1792295294088,282.96064904522717,492.8229554801367,10000,775374189
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_stable_break,ceded,,50,302.1354823159082,215.7872765071903,407.5939808388302,10000,295948125
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_stable_break,ceded,,50,339.83737662619285,221.86084759797583,475.2894837125617,10000,3482161658
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_stable_break,gross,,0,,,,10000,494637636
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_stable_break,gross,,0,,,,10000,3365196201
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_stable_break,gross,,0,,,,10000,2314468674
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_stable_break,gross,,50,55.879781400152844,51.08447055678872,60.76611713195391,10000,3845948661
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_stable_break,gross,,50,89.86962458094017,82.18410229058377,97.65916791921575,10000,1192906599
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_stable_break,gross,,50,52.976763470038996,47.65750621864939,58.32547274982568,10000,2782361762
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_stable_no_break,ceded,,0,,,,10000,471613212
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_stable_no_break,ceded,,0,,,,10000,1041923182
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_stable_no_break,ceded,,0,,,,10000,836873779
